,Tweets,Sentiment,compound_score,Negative_percentage,Neutral_precentage,Positive_percentage,Negative_score,Neutral_score,Positive_score
45,Is at a photoshoot.,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
46,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,0.8807,0.0,46.9,53.1,0.0,0.469,0.531
47,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,positive,0.7424,0.0,64.1,35.9,0.0,0.641,0.359
48,Chilliin,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
49," If you know such agent, do let me know",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
50,I still smell of smoke  #kitchenfire,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
51, a celtics-lakers rematch sounds better don`t you think? lol,positive,0.6908,0.0,55.1,44.9,0.0,0.551,0.449
52,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",positive,0.3182,0.0,91.3,8.7,0.0,0.913,0.087
53,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
54, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,positive,0.2481,7.199999999999999,82.3,10.5,0.072,0.823,0.105
55,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,positive,0.4466,0.0,89.9,10.100000000000001,0.0,0.899,0.101
56,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",positive,0.6739,0.0,63.800000000000004,36.199999999999996,0.0,0.638,0.362
57, My sources say no,negative,-0.296,42.3,57.699999999999996,0.0,0.423,0.577,0.0
58,I am sooo tired,negative,-0.4404,49.2,50.8,0.0,0.492,0.508,0.0
59," Hey, you change your twitter account, and you didn`t even tell me...",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
60, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,0.4199,0.0,26.400000000000002,73.6,0.0,0.264,0.736
61, lucky kid...i so wanna see loserville  pity im in oz....,positive,0.1531,16.900000000000002,61.5,21.5,0.169,0.615,0.215
62,fell asleep waiting for my ride!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
63,Sick. With a flu like thing.,negative,-0.5267,51.800000000000004,26.3,21.9,0.518,0.263,0.219
64,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,-0.7944,36.199999999999996,63.800000000000004,0.0,0.362,0.638,0.0
65,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,0.7424,18.5,30.8,50.7,0.185,0.308,0.507
66, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,positive,0.2263,7.8,81.39999999999999,10.7,0.078,0.814,0.107
67,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",positive,0.8835,10.5,55.60000000000001,34.0,0.105,0.556,0.34
68,i miss you bby      wish you were going tomorrow to make me do good.,positive,0.6124,8.799999999999999,60.4,30.8,0.088,0.604,0.308
69, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,0.6968,0.0,74.7,25.3,0.0,0.747,0.253
70, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,0.8877,0.0,42.5,57.49999999999999,0.0,0.425,0.575
71,_Mounce yes and it lasts way past my bedtime!,positive,0.4574,0.0,72.8,27.200000000000003,0.0,0.728,0.272
72, Hi  how are you doing ???  *just joined twitter...*,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
73,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,-0.5777,22.3,77.7,0.0,0.223,0.777,0.0
74,eating ice cream and then getting ready for graduation.,positive,0.3612,0.0,76.2,23.799999999999997,0.0,0.762,0.238
75,Happy Mothers day to all you Mums out there,positive,0.5719,0.0,68.4,31.6,0.0,0.684,0.316
76," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,-0.6844,17.4,82.6,0.0,0.174,0.826,0.0
77, hemp cloth is marvelous but unfortunately no,negative,-0.5346,47.8,32.4,19.8,0.478,0.324,0.198
78,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
79, We saw that in none 3D - the baddie`s the best,positive,0.6369,0.0,70.39999999999999,29.599999999999998,0.0,0.704,0.296
80,4am. And Im on the beach. Pretty,positive,0.4939,0.0,65.2,34.8,0.0,0.652,0.348
81," Certainly not Cheers than, huh?",neutral,-0.0397,32.1,37.7,30.2,0.321,0.377,0.302
82,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,-0.6103,27.200000000000003,60.6,12.1,0.272,0.606,0.121
83,i realy wanted to go out cause its so nice but everybodys busy,positive,0.32,0.0,83.89999999999999,16.1,0.0,0.839,0.161
84, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,0.7506,0.0,76.6,23.400000000000002,0.0,0.766,0.234
85,at least I get to watch over time  Let`s go Pens!!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
86, cool i wear black most of the time when i go out,positive,0.3182,0.0,82.69999999999999,17.299999999999997,0.0,0.827,0.173
87, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,0.8398,0.0,69.0,31.0,0.0,0.69,0.31
88, have a safe trip joshy poo.......you`ll knock them dead at your speech,negative,-0.34,25.0,58.099999999999994,16.900000000000002,0.25,0.581,0.169
89," woof, I wish I was allowed to go",positive,0.4019,0.0,72.2,27.800000000000004,0.0,0.722,0.278
90,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,negative,-0.3331,12.2,87.8,0.0,0.122,0.878,0.0
91,  has tickets.......?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
92,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,0.4738,0.0,78.10000000000001,21.9,0.0,0.781,0.219
93, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,positive,0.6369,0.0,81.6,18.4,0.0,0.816,0.184
94,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,0.6696,0.0,84.2,15.8,0.0,0.842,0.158
95,So many tests todayyy  I don`t feel confident about anyy.,positive,0.4939,0.0,73.8,26.200000000000003,0.0,0.738,0.262
96,graduation is done  im a little sad.. anyone want to hang out???,negative,-0.5124,23.3,69.5,7.199999999999999,0.233,0.695,0.072
97, hahaa your awesomee !,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
98,holy smokes! star trek was freaking awesomeeeee,negative,-0.4753,34.0,66.0,0.0,0.34,0.66,0.0
99,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",negative,-0.8271,29.299999999999997,70.7,0.0,0.293,0.707,0.0
100," I had it! On my itunes, but then I lost all my songs.",negative,-0.501,21.3,78.7,0.0,0.213,0.787,0.0
101,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,positive,0.2263,14.6,68.0,17.5,0.146,0.68,0.175
102,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
103," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,-0.5149,22.7,68.89999999999999,8.4,0.227,0.689,0.084
104,not well,negative,-0.2057,64.5,35.5,0.0,0.645,0.355,0.0
105, Not a prob hun,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
106,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
107, Absolutely,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
108, what`s the matter chickadee?,neutral,0.0258,0.0,73.2,26.8,0.0,0.732,0.268
109, hey mia!  totally adore your music.  when will your cd be out?,positive,0.4561,13.4,61.0,25.5,0.134,0.61,0.255
110,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,0.8126,0.0,65.4,34.599999999999994,0.0,0.654,0.346
111, =O you need to ask him something? Lmao I love him too,positive,0.8442,0.0,55.2,44.800000000000004,0.0,0.552,0.448
112, those splinters look very painful...but you were being very heroic saving mr. Pickle,positive,0.5984,0.0,75.5,24.5,0.0,0.755,0.245
113, why are you sad?,negative,-0.4767,50.8,49.2,0.0,0.508,0.492,0.0
114, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,0.8711,0.0,65.8,34.2,0.0,0.658,0.342
115,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,0.9194,0.0,56.2,43.8,0.0,0.562,0.438
116, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
117," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",positive,0.8534,0.0,62.2,37.8,0.0,0.622,0.378
118,Humous and Dorito`s.... Oh yes,positive,0.4019,0.0,59.699999999999996,40.300000000000004,0.0,0.597,0.403
119,"missed all the awesome weather, because she was in a movie!",positive,0.4926,14.099999999999998,57.699999999999996,28.199999999999996,0.141,0.577,0.282
120,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,positive,0.4404,0.0,91.2,8.799999999999999,0.0,0.912,0.088
121,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,-0.126,19.6,63.6,16.8,0.196,0.636,0.168
122,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,-0.3595,9.8,90.2,0.0,0.098,0.902,0.0
123," What`s sad is that I actually had to google that term. That sucks, tho.",negative,-0.6808,31.8,68.2,0.0,0.318,0.682,0.0
124,Hate fighting,negative,-0.7351,100.0,0.0,0.0,1.0,0.0,0.0
125," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",positive,0.7915,5.0,63.0,32.0,0.05,0.63,0.32
126,Car-warmed Sprite tastes like sore throat,neutral,0.0,27.800000000000004,44.4,27.800000000000004,0.278,0.444,0.278
127,Just came 11th in cross country and beat dumbo,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
128,Candle wax is very enjoyable.,positive,0.4927,0.0,55.60000000000001,44.4,0.0,0.556,0.444
129," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
130,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
131,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
132, me too. I hate my computer so much..,negative,-0.5719,34.599999999999994,65.4,0.0,0.346,0.654,0.0
133, fine! Going to do my big walk today 20 or so miles,positive,0.2714,0.0,84.0,16.0,0.0,0.84,0.16
134,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,positive,0.8639,0.0,45.300000000000004,54.7,0.0,0.453,0.547
135,Mmmmmmmm... ? it in the morning,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
136, me neither,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
137,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",positive,0.296,0.0,90.5,9.5,0.0,0.905,0.095
138,Bugger. forgot I still have washing in my machine,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
139,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,0.9042,0.0,44.6,55.400000000000006,0.0,0.446,0.554
140,My back hurts...really bad,negative,-0.5423,53.800000000000004,46.2,0.0,0.538,0.462,0.0
141," ah yes, I know that feeling",positive,0.4939,0.0,48.8,51.2,0.0,0.488,0.512
142,Night of the cookers with my dad,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
143,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,-0.3147,20.599999999999998,63.2,16.3,0.206,0.632,0.163
144, Nope I am in Coquitlam,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
145, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,-0.3312,23.200000000000003,61.199999999999996,15.6,0.232,0.612,0.156
146,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,0.8398,0.0,52.7,47.3,0.0,0.527,0.473
147,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
148,Few Bevvies 2day in twn..great on a day off!!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
149,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,0.5696,0.0,81.3,18.7,0.0,0.813,0.187
150, good morning,positive,0.4404,0.0,25.6,74.4,0.0,0.256,0.744
151, its the best show EVER!,positive,0.6696,0.0,47.099999999999994,52.900000000000006,0.0,0.471,0.529
152,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,-0.34,12.4,87.6,0.0,0.124,0.876,0.0
153,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,negative,-0.5904,22.900000000000002,67.0,10.100000000000001,0.229,0.67,0.101
154, I want to know when the auditions are Mander! Text or...reply please!,positive,0.4912,0.0,70.5,29.5,0.0,0.705,0.295
155,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,positive,0.4648,0.0,69.8,30.2,0.0,0.698,0.302
156, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,-0.3802,28.1,57.3,14.6,0.281,0.573,0.146
157,i need to get my computer fixed,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
158,really hopes her car`s illness is not terminal...,positive,0.101,22.900000000000002,50.9,26.200000000000003,0.229,0.509,0.262
159,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",positive,0.3818,0.0,83.3,16.7,0.0,0.833,0.167
160, no sir...i woulda put honey...but i don`t have any,negative,-0.296,21.6,78.4,0.0,0.216,0.784,0.0
161,who watched X-men origins: wolverine? i totally loved it! haha,positive,0.8293,0.0,50.8,49.2,0.0,0.508,0.492
162, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,0.6671,8.0,71.3,20.7,0.08,0.713,0.207
163, I`m sad that I missed you guys last night!,negative,-0.68,44.4,55.60000000000001,0.0,0.444,0.556,0.0
164,Finally got a call for marriage counseling 3 days late....,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
165, ok then,positive,0.296,0.0,31.2,68.8,0.0,0.312,0.688
166,_420 why baby?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
167,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,-0.906,38.5,61.5,0.0,0.385,0.615,0.0
168,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,positive,0.4019,0.0,86.3,13.700000000000001,0.0,0.863,0.137
169,lost my tooth 2day whilst i was eating gum...oww,negative,-0.3182,22.3,77.7,0.0,0.223,0.777,0.0
170,happy 1 year! <3,positive,0.784,0.0,22.5,77.5,0.0,0.225,0.775
171,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,0.8309,0.0,67.2,32.800000000000004,0.0,0.672,0.328
172, *phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
173,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
174,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,-0.6351,32.0,68.0,0.0,0.32,0.68,0.0
175, i talk to you,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
176,im soo bored...im deffo missing my music channels,negative,-0.296,23.9,76.1,0.0,0.239,0.761,0.0
177, nite nite bday girl  have fun at concert,positive,0.5106,0.0,68.0,32.0,0.0,0.68,0.32
178,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",positive,0.3685,0.0,91.10000000000001,8.9,0.0,0.911,0.089
179,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
180,should be sleeping.  lost my voice a couple day ago.,negative,-0.3182,20.4,79.60000000000001,0.0,0.204,0.796,0.0
181,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,-0.5719,31.6,68.4,0.0,0.316,0.684,0.0
182, I`ve heard this fall. I`m waiting too!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
183, more nightmares?  *huggles*,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
184,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,-0.6486,21.8,78.2,0.0,0.218,0.782,0.0
185,going to bed its late and I have headache,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
186,happy mother`s day to all moms out there...,positive,0.5719,0.0,65.4,34.599999999999994,0.0,0.654,0.346
187,Grabbing coffee from  then making mom breakfast,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
188,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,0.5106,0.0,79.80000000000001,20.200000000000003,0.0,0.798,0.202
189, thanks. before the major chop.,positive,0.4404,0.0,57.99999999999999,42.0,0.0,0.58,0.42
190," Haha I know, I cant handle the fame!  and thank you!",positive,0.5687,14.6,48.5,36.9,0.146,0.485,0.369
191,just got up and updated my ipod,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
192, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,0.8981,0.0,57.9,42.1,0.0,0.579,0.421
193, We never miss ICarly - my son has a huge crush on Miranda,positive,0.2833,10.4,65.2,24.4,0.104,0.652,0.244
194,Saw James carville in the store today. His head is really that bald,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
195,yellow for   ? http://blip.fm/~5z05g,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
196, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
197,Feeling smooth like chrome,positive,0.4588,0.0,33.300000000000004,66.7,0.0,0.333,0.667
198,Ew traffic,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
199,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",negative,-0.3252,10.9,89.1,0.0,0.109,0.891,0.0
201, Sounds like me,positive,0.3612,0.0,44.4,55.60000000000001,0.0,0.444,0.556
202,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,negative,-0.2023,20.5,65.10000000000001,14.399999999999999,0.205,0.651,0.144
203,Walking to class. I hate not having a bike....especially mine.,negative,-0.5719,29.099999999999998,70.89999999999999,0.0,0.291,0.709,0.0
204,_nesmith,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
205,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,-0.743,23.1,76.9,0.0,0.231,0.769,0.0
206,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,0.7428,9.3,54.900000000000006,35.8,0.093,0.549,0.358
207,happy mother`s day to all the mothers in the world.,positive,0.5719,0.0,70.89999999999999,29.099999999999998,0.0,0.709,0.291
208,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,0.8176,0.0,71.7,28.299999999999997,0.0,0.717,0.283
209,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,0.5972,0.0,78.3,21.7,0.0,0.783,0.217
210,The exception for a short dude: Larenz fineass Tate yum,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
211,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,0.7096,5.8999999999999995,64.0,30.0,0.059,0.64,0.3
212,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,0.8681,0.0,65.0,35.0,0.0,0.65,0.35
213, Yes i work 6 to 3...,positive,0.4019,0.0,64.9,35.099999999999994,0.0,0.649,0.351
214," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
215,Done at the spa   now meeting vic for some late lunch!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
216,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,0.8955,0.0,52.7,47.3,0.0,0.527,0.473
217, Always have wanted to go to Oz,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
218, Thx,positive,0.3612,0.0,0.0,100.0,0.0,0.0,1.0
219, http://twitpic.com/4jaz5 - Cool... luv it,positive,0.3182,0.0,63.5,36.5,0.0,0.635,0.365
